tender_no,title,organization,status,closing_date
FOR DETAILS PLEASE VISIT https://pnsc.com.pk/tenders,TENDER FOR PROCUREMENT OF HYDRO BLASTER MACHINE FOR PNSC,"Pakistan National Shipping Corporation (PNSC),Karachi central, Pakistan",,"Dec 24, 2025"
,Differen Services and Repair/ Maintenance Works,"Ministry of Planning, Development and Reform,Islamabad, Pakistan",,"Dec 24, 2025"
TN Khi,Tender Notice for supply of different items,"Pakistan Electronic Media Regulatory Authority (PEMRA),Islamabad, Pakistan","Dec 1, 2026","Dec 24, 2025"
08-2025,Insecticldes and spray tools.. Insecticldes and spray tools,"Public Sector Organization,Peshawar, Pakistan",,"Dec 24, 2025"
ISL/TE/019/2025,MISC. ASSORTED SIZES OF TUBLES TYRES,"Sui Northern Gas Pipelines Limited,Islamabad, Pakistan",,"Jan 7, 2026"
186/26 to 193/26,Procurement of Distribution Material,"Multan Electric Power Company (MEPCO),Multan City, Pakistan",,"Dec 24, 2025"
,Remaining works of CETP,"Sialkot Tannery Associate (Guarantee) Limited (STAGL),Sialkot, Pakistan",,"Dec 24, 2025"
,,"Heavy Industries Taxila (HIT),Taxila, Pakistan Complete Intra Ocular Lenses (IOL) Kits (Various Size)  MS/25/Eye Dept/25-26/RT-7901 (A)/Hosp/FOR-B/SCM Dte  RT-7901 (A)",,"Dec 24, 2025"
,,"Pakistan Ordnance Factories,Wah Cantt, Pakistan PROCUREMENT OF LINOLEUM SHEET and Pipe & Pipe Fittings  T.E # 0217-LP-CMC-55-P-F AND T.E # 0051-LP-CMC-55-P-F  T.E # 0217-LP-CMC-55-P-F AND T.E # 0051-LP-CMC-55-P-F",,"Dec 24, 2025"
,,"National Vocational and Technical Training Commission (NAVTTC),Islamabad, Pakistan Provision of Vocational Skills Training Program  Provision of Vocational Skills Training Program",,"Dec 24, 2025"
,,"Embassy of Pakistan,Madrid, Spain Hiring Services of Legal Firm..  Hiring Services of Legal Firm..",,"Dec 24, 2025"
,,"Military Engineering Services (Airforce),Chakwal, Pakistan T.C  Electrification...  T.C  Elelctrification...  07/E-6",,"Dec 24, 2025"
,,"National Radio Tele Communication Corporation,Haripur, Pakistan Batteries UPS 12V-17AH Dimension  Batteries UPS 12V-17AH Dimension  TU-5008-2025",,"Dec 24, 2025"
,,"National Grid Company of Pakistan Limited NGC,Multan City, Pakistan Const of  Guard Room,etc..  Const of  Guard Room,etc..  XEN/CIVil/AMN/MUL/2025-26/01",,"Dec 24, 2025"
,,"Public Sector Organization,Islamabad, Pakistan Low Temrperature Different Scanning ...  Low Temrperature Different Scanning ...  130-133/2025",,"Dec 24, 2025"
,,"Pakistan LNG Limited,Islamabad, Pakistan Procurement of New Network Switches.  This Tender Documents  PLL/IT-NS/12/2025-01",,"Dec 24, 2025"
,,"Petroleum Oil and Lubricants Depot,Mardan, Pakistan Solarization ..  Solarization ..",,"Dec 24, 2025"
,,"Armed Forces Medical Stores Laboratory (AFMSL),Rawalpindi, Pakistan Chemicals,etc..  Chemicals,etc..",,"Dec 24, 2025"
,,"National Telecommunication Corporation (NTC),Islamabad, Pakistan Disposal/Condemnation/Auction..  Disposal/Condemnation/Auction..",,"Dec 24, 2025"
,"Stationery Items , computer Stationery..","Collectorate of Customs (Appraisement),Peshawar, Pakistan",,"Dec 24, 2025"
LE-112/25,Thyrister Rectifier Supply of Thyrister Rectifier,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 8, 2026"
LP/T-2376/25,Security Adhesive Tape,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Dec 24, 2025"
525006/R2512/330353,Shoes Joggers,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
525014/R2512/330341,Broad Belt Jet Black,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
3CF/4P/Adv./0006/EPADS/EC/Isld (Press R.O we0b 2025-20,INDUSTRIAL HEAVY DUTY WORK Tender,"Pakistan Railways,Lahore city, Pakistan",,"Dec 24, 2025"
525034/R2512/330355,Jockey Cap Khaki,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
2514178/B-2512/340312,Interfine 878 Polysiloxane Finish,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
2580172/B-2512/340333,SARBE 6-406 EVO,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
https://e.jang.com.pk/lahore/21-12-2025/page10,Solarization of Expo Centre Lahore.,"Pakistan Expo Centres (Pvt) Limited,Lahore, Pakistan",,"Dec 24, 2025"
2514204/R-2512/340344,Paint Finishing Acid & Alkali,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
2513156/B-2512/340345,Rope Nylon 3-Strand Rope Nylon 3-Strand Rope Nylon 3-Strand,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
P-11/2025,P-11/2025,"Heavy Mechanical Complex-3,Taxila, Pakistan",,"Dec 24, 2025"
2514213/B-2512/340346,Black Paint Heat Resistant,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
2511173/R-2512/340347,Raychem J.S.C.R Heat Shrink Sleeve Raychem J.S.C.R Heat Shri,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
2511094/R-2512/340348,Pneumatic Rubber Fender,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Jan 12, 2026"
2590362/R-2512/340349,Bullet Proof Jacket Level-III,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
Ref.No.PMDC/pro/Jansukh Mine No.03/WA,"Jansukh Mine No. 03, at PMDC Salt Mines Warcha","Pakistan Mineral Development Corporation(PMDC),Islamabad, Pakistan",,"Dec 24, 2025"
PRD(L)/WAPDA/145(2025-26),WAPDA CRBC D.I KHAN WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 24, 2025"
LP/T-2366/25,Supply of Offset ink Oil Base,"Pakistan Security Printing Corporation,Karachi central, Pakistan",,"Dec 24, 2025"
"0007,0008,0010-LP-W-56",PROCUREMENT OF TOOLINGS,"Pakistan Ordnance Factories,Wah Cantt, Pakistan",,"Dec 24, 2025"
PNSC/HYDERABAD/SPARES/028/2025,INTERNATIONAL TENDER FOR PROCUREMENT OF ANCHOR CHAIN SPARES EMERGENT TENDER PROVISO 13 (1),"Pakistan National Shipping Corporation (PNSC),Karachi central, Pakistan",,"Dec 24, 2025"
PASSCO/Procurement/RFP/02/2025,Hiring of Third Party Monitoring and Validation Firm,"Pakistan Agricultural Storage and Services Corporation (PASSCO),Lahore, Pakistan",,"Dec 24, 2025"
PCB-01-2025,MEDIA BUYING AND ADVERTISING SALES AGENCIES FOR OFFICIAL PCB,"Pakistan Cricket Board,Islamabad, Pakistan",,"Jan 6, 2026"
PTA/ICT/GIS/264/2025,Hiring of Services of Company for Web Based GIS,"Pakistan Telecommunication Authority,Islamabad, Pakistan",,"Dec 23, 2025"
F-25121519845,MAINTENANCE/ REPAIR AND RENOVATION OF KOLACHI PIER AT EAST,"Karachi Port Trust,Karachi central, Pakistan",,"Dec 23, 2025"
2(25)-DEV-MOHR,Hiring of a Consultant Firm for Obtaining ISO 9001:2015 Cert Hiring of Consultant Firm for Obtaining ISO 9001:2015 Cert..,"Ministry of Human Rights,Islamabad, Pakistan",,"Dec 23, 2025"
Supply of Flexible Cable / Cable (16MM2) Single Core,Flexible Cable / Cable (16MM2) Single Core,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 23, 2025"
SUPPLY OF CORRUGATED GALAVNIZED SHEET / M.S. SHEET,CORRUGATED GALAVNIZED SHEET / M.S. SHEET,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 7, 2026"
LE-108/25,Helium Gas Supply of Helium Gas,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 8, 2026"
12037,NOTICE INVITING TENDER CONSTRUCTION OF SHARED SCREENING ROOM,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 23, 2025"
Supply of Slaked Lime / Sodium chloride (Powdered Salt),Slaked Lime / Sodium Chloride,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Jan 7, 2026"
UCH/TE/010/25,COMPLETE CCTV SYSTEM WITH COMPLETE ALLIED ACCESSORIES,"Sui Northern Gas Pipelines Limited,Sadiqabad, Pakistan",,"Dec 23, 2025"
12036,NOTICE RE - INVITING TENDER CONSTRUCTION OF TOILETS AND UPLI,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 23, 2025"
NADRA-RHO LHR-RFB/2025-26/Construction-Narowal,"CONSTRUCTION OF NADRA OFFICE, NAROWAL","National Database and Registration Authority NADRA,Lahore, Pakistan",,"Dec 23, 2025"
GSD (PROC-III)/ 358650 / Video Wall / 2025-26,Supply and Installation of Video Wall at SBP KHI,"State Bank of Pakistan,Karachi west, Pakistan",,"Dec 23, 2025"
0,Roof Treatment of Jinnah Auditorium at NUST,"Works Directorate NUST,Islamabad, Pakistan",,"Dec 23, 2025"
REPLACEMENT OF EXISTING 450MVA 500/220KV AUTO TRANSFORMER,XEN-EHV-TLCLHR-06-2025,"National Transmission and Despatch Company,Lahore, Pakistan",,"Dec 23, 2025"
Multan,EM-PS-2024-25-70-10 Multan,"National Highway Authority (NHA),Islamabad, Pakistan",,"Jan 12, 2026"
--,Tender for Broadcast Grade Equipment ( Revamping of PTVC),"Pakistan Television Corporation Limited,Islamabad, Pakistan",,"Dec 23, 2025"
23DIV/Adm/Accts/2025-26,Repair/ Maintenance/ Up- gradation..,"HQ 23 Division,Jhelum, Pakistan",,"Dec 23, 2025"
PACB/751-A/010925037/1272/P-2,CALIBRATION OF CO-ORDINATE MEASURING MACHINES,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 23, 2025"
,Cochlear Implant,"Pakistan Navy,Islamabad, Pakistan",,"Dec 23, 2025"
PACB/751-A/080825014/1271/P-2,PROC OF PROCESS CHEMICALS,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 23, 2025"
,Air Conditioners,"National Bank of Pakistan,Lahore, Pakistan",,"Dec 23, 2025"
PACB/751-A/041125042/1270/P-2,PROCUREMENT OF AERO LUBES,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 23, 2025"
,Repair/ Maintence Works,"Trade Development Authority of Pakistan,Karachi central, Pakistan",,"Dec 23, 2025"
PACB/751-A/160725004/1269/P-2,PROCUREMENT OF HIGH PRESSURE OIL PUMP CART (HTS),"Pakistan Aeronautical Complex,kamra, Pakistan",,"Jan 8, 2026"
GF-19335- JA,LPG...,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 23, 2025"
OP-19340-AA,Providing and Installation of Glass Partition works,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 23, 2025"
NASTP-GREENAI-GPSAR-UAS/04/2025,DESIGN & DEVELOPMENT OF AGRICULTURAL UNMANNED AIRCRAFT SYSTE DESIGN & DEVELOPMENT OF AGRICULTURAL UNMANNED AIRCRAFT,"National Aerospace Science and Technology Park (NASTP),Islamabad, Pakistan",,"Jan 9, 2026"
LM-19164-ASR,Finishing works of Auto care Facility,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 23, 2025"
T#07 (ii)/ 25-26,Support and Subscription Renewal for Oracle ERP Products,"Securities and Exchange Commission,Islamabad, Pakistan",,"Dec 23, 2025"
AM-19339-AA,Services Required for Technical survey..,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 23, 2025"
PACB/786-A/25220028/0515/P-4,PROCUREMENT OF ‘D’ LEVEL SPARES,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 23, 2025"
T#07 (i)/ 25-26,Veritas Net Backup Support,"Securities and Exchange Commission,Islamabad, Pakistan",,"Dec 23, 2025"
BM-19338-FI,Procurement of Bikes,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 23, 2025"
PACB/786-A/25209021/0514/P-4,UP-GRADATION OF TESTER,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 23, 2025"
LT-19129-FIR,Procurement of Electric High-Reach Fork-lift truck,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 23, 2025"
251208-/P3-I,Radiology Equipment,"Government of Punjab,Lahore, Pakistan",,"Dec 23, 2025"
PACB/786-A/25198015/0513/P-4,PROCUREMENT OF SCANCAD,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 23, 2025"
0446/RT-6202/25-26/FOR-A/DESCOM/SCM,Procurement of Material for Indigenous Manufacturing of Part,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 23, 2025"
PACB/786-A/25209026/0512/P-4,PROCUREMENT OF ITEMS,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 23, 2025"
PRD(L)/WAPDA/143(2025-26),WAPDA DIAMER BASHA DAM CHILAS WAPDA,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 23, 2025"
,"Construction Works,etc..","HQ Frontier Corps (KPK),Peshawar, Pakistan",,"Dec 23, 2025"
,Janitorial/Cleaning Services,"Ministry of Foreign Affairs,Islamabad, Pakistan",,"Dec 23, 2025"
4882/RT-7013/25-26/TMF/FWA/SCM,Procurement of Water Tube Insulation with 5x Items,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 23, 2025"
PACB/786-A/25220029/0511/P-4,AUTOMATIC OPTICAL INSPECTION SYSTEM,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 23, 2025"
PD/O&M/PP/32438/25,"Supply of 12VDC battery ,etc.. Supply of 12VDC battery ,etc","Pakistan Petroleum Limited,Karachi central, Pakistan",,"Dec 23, 2025"
2871/RT-7606/25-26/HRF(M)/FWA/SCM,Procurement of Production Material,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 30, 2025"
FSD/INTL/YYZ/17/26,IN-FLIGHT CATERING SERVICES,"Pakistan International Airline (PIA),Karachi central, Pakistan",,"Dec 23, 2025"
PSS/2025/16,purchase/supply of Tyres for Transport Unit.,"Quaid-i-Azam University,Islamabad, Pakistan",,"Dec 23, 2025"
02,Auction,"National Grid Company of Pakistan Limited NGC,Shikarpur, Pakistan",,"Dec 23, 2025"
PRD(L)/WAPDA/142(2025-26),WAPDA TARBELA 4TH EXT. HYDEL POWER STATION,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 23, 2025"
"4756/IT-7135,/IT-7138/HRF (T)/FWA/25-26/SCM",Procurement of Azmol Oil,"Heavy Industries Taxila (HIT),Taxila, Pakistan",,"Dec 30, 2025"
ICE & CONTL/L.C/IT/25-26/03,"Repair/ Refurbishment,etc..","Pakistan Navy,Karachi central, Pakistan",,"Dec 23, 2025"
GSD (PROC)/ 357007 / UPS Batteries / 2025-26,Maintenance Free Dry Batteries,"State Bank of Pakistan,Faisalabad, Pakistan",,"Dec 23, 2025"
,Upgradation of Internet Facility at NUST students Hostels,"Military College of Engineering (MCE),Nowshera, Pakistan",,"Dec 23, 2025"
798 - D (a) / 2025-26,Establishment of Optical Fiber cable connectivity,"National Telecommunication Corporation (NTC),Karachi central, Pakistan",,"Dec 23, 2025"
SN-4761/25,Welding Electrodes,"Sui Northern Gas Pipelines Limited,Lahore city, Pakistan",,"Dec 23, 2025"
SNT-2302/25,Natural Gas Odor Sniff Tester,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 23, 2025"
SN-4762/25,Welding Fittings,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 23, 2025"
SNT-2309/25,Mini Excavator with Wheels,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 23, 2025"
PACB/786-A/25205022/0510/P-4,PROCUREMENT OF RF AMPLIFIER,"Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 23, 2025"
12035,TENDER NOTICE REPAIR / MAINTENANCE WORKS OF B-08 MESS AT PAA,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 23, 2025"
PTA/Admin/744/2025,"Procurement of 9x Photocopier Machines for PTA HQs, Isb","Pakistan Telecommunication Authority,Islamabad, Pakistan",,"Dec 23, 2025"
Procurement of Oxygen / Acetylene Gases,Oxygen / Acetylene Gases,"Sui Northern Gas Pipelines Limited,Faisalabad, Pakistan",,"Dec 23, 2025"
WAH/CIVIL/004/2025-26,Repair and installation work ..,"Sui Northern Gas Pipelines Limited,Wah Cantt, Pakistan",,"Dec 23, 2025"
,Security Services,"Estate Office,Islamabad, Pakistan",,"Dec 23, 2025"
,Indigenous Development ...,"Ministry of Defence Production,Rawalpindi, Pakistan",,"Dec 23, 2025"
6057/04/E-6,Term Contract ( B&R)..,"Military Engineering Services (Army),Sialkot, Pakistan",,"Dec 23, 2025"
6000-ppra/33/e-6,Const/Repair/ Maint..,"Military Engineering Services (Army),Rawalpindi, Pakistan",,"Dec 23, 2025"
1012-W/2/3/25,"Special Repair,etc..","Pakistan Railways,Rawalpindi, Pakistan",,"Dec 23, 2025"
PACB/1702/5/BLAS-26/MC,"STALL DESIGN, FABRICATION AND SERVICES BLAS -2026 ETHIOPIA","Pakistan Aeronautical Complex,kamra, Pakistan",,"Dec 30, 2025"
,Auction/ Disposal,"National Grid Company of Pakistan Limited NGC,Rawalpindi, Pakistan",,"Dec 23, 2025"
348/34,INVITATION TO E-BID,"Oil and Gas Development Company Limited,Islamabad, Pakistan",,"Dec 23, 2025"
,Electrical Division II 03 (23-12-2025),"Capital Development Authority,Islamabad, Pakistan",,"Dec 23, 2025"
12034,INVITATION TO BID PROCUREMENT OF OUTDOOR RATED FULL COLOUR L,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 23, 2025"
CUI-LHR-TN-25-1887,"4510-Sports Items for Year 2025-2026, CUI-Lahore Campus","COMSATS,Lahore, Pakistan",,"Dec 23, 2025"
"0025,0036 & 0046 HVN-LP-56","Procurment of Mechanical, Electronic & PVC Items","Pakistan Ordnance Factories,Abbottabad, Pakistan",,"Dec 23, 2025"
12032,INVITATION TO BID PROCUREMENT OF OFFICE FURNITURE FOR GWADAR,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 23, 2025"
PRD(L)/WAPDA/140(2025-26),WAPDA DIAMER BASHA DAM WAPDA LA&R DBDP CHILAS,"Water and Power Development Authority (WAPDA),Lahore city, Pakistan",,"Dec 23, 2025"
A (01)/PSEB/2025-48,Purchase of Hardware and IT Equipment for PSEB Tender Notice,"Pakistan Software Export Board,Islamabad, Pakistan",,"Dec 23, 2025"
12030,INVITATION TO BID PROCUREMENT OF IT EQUIPMENT FOR AIIAP LAHO,"Pakistan Airports Authority (PAA),Karachi south, Pakistan",,"Dec 23, 2025"
"0037,0038,0045 & 0049 HVN-LP-56","Procurment of Chemicals, Pipe and Pipe Fittings","Pakistan Ordnance Factories,Abbottabad, Pakistan",,"Dec 23, 2025"
2590306/R-2511/310230,UPGRADATION OF NOISE FIGURE ANALYZER FOR MEASURING CIRCUIT/C,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 23, 2025"
2590309/R-2512/310352,SYSTEM 8 (BOARD MASTER) ALONGWITH ACCESSORIES,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 23, 2025"
2590307/R-2512/310351,REVENG CABINET SYSTEM 2048 CHANNELS INCLUDING ACCESSORIES,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 23, 2025"
2590360/B2512/360318,7500 x CTGS 25MM x 137 HEI-T,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 23, 2025"
2590344/R2511/360268,2x Battery Operated Tractor (5- Ton),"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 23, 2025"
2590359/R2511/360280,Wabocord/Detonating& Safety Fuse,"Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 23, 2025"
2590001/R2512/360334,"Procurement of Heavy Mortar 120MM complete with Tools, Acces","Directorate of Procurement (Navy),Islamabad, Pakistan",,"Dec 24, 2025"
,,"Military Engineering Services (Army),Sialkot, Pakistan Term Contract ( B&R)..  Term Contract ( B&R)..  6057/04/E-6",,"Dec 23, 2025"
,,"Pakistan Railways,Rawalpindi, Pakistan Special Repair,etc..  Special Repair,etc..  1012-W/2/3/25",,"Dec 23, 2025"
,,"Pakistan Aeronautical Complex,kamra, Pakistan STALL DESIGN, FABRICATION AND SERVICES BLAS -2026 ETHIOPIA    PACB/1702/5/BLAS-26/MC",,"Dec 30, 2025"
,,"National Grid Company of Pakistan Limited NGC,Rawalpindi, Pakistan Auction/ Disposal   Auction/ Disposal",,"Dec 23, 2025"
,,"COMSATS,Lahore, Pakistan 4510-Sports Items for Year 2025-2026, CUI-Lahore    Campus  CUI-LHR-TN-25-1887",,"Dec 23, 2025"
,,"Pakistan Ordnance Factories,Abbottabad, Pakistan Procurment of Mechanical, Electronic & PVC Items  Procurment of Mechanical, Electronic & PVC Items  0025,0036 & 0046 HVN-LP-56",,"Dec 23, 2025"
Svcs/C&M/Renovation of Radar Lab 2025,Renovation of Radar Lab..,"National Radio Tele Communication Corporation,Haripur, Pakistan",,"Dec 22, 2025"
TL/01/25-07,18 X Dia ...,"Sui Northern Gas Pipelines Limited,Lahore, Pakistan",,"Dec 22, 2025"
SSGC/LP/EPADS/NR/2114005,SSGC/LP/EPADS/NR/2114005 (SPARES),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 22, 2025"
,"Upgradation and Renovation of Labs,etc.. Upgradation and Renovation of Labs,etc.","National Institute of Health (NIH),Islamabad, Pakistan",,"Dec 22, 2025"
AD-A4796- FF,Services for fumigation..,"Pakistan State Oil,Karachi central, Pakistan",,"Dec 22, 2025"
MNTT/TE/070/2025,Beveling Machine,"Sui Northern Gas Pipelines Limited,Multan, Pakistan",,"Jan 12, 2026"
3305/A/LP/KWD-02-2025-26 (2nd Half),Misc Items,"Central Ordnance Depot,Khanewal, Pakistan",,"Dec 22, 2025"
,Procurement of Video Conferencing System,"Ministry of Federal Education and Professional Training,Islamabad, Pakistan",,"Dec 22, 2025"
SSGC/LP/EPADS/NR/2114004,SSGC/LP/EPADS/NR/2114004 (CAMERA),"Sui Southern Gas Company Limited,Karachi central, Pakistan",,"Dec 22, 2025"
IFB-AFD-13R-2025 (Lot-IV),Procurement of Testing and Maintenance Equipment,"National Grid Company of Pakistan Limited NGC,Lahore, Pakistan",,"Dec 22, 2025"
